iter	RMSE
0	1.202727621
1	1.187132482
2	1.172739295
3	1.158156189
4	1.147389658
5	1.131992057
6	1.119726703
7	1.105880665
8	1.094244248
9	1.081066552
10	1.070588602
11	1.061167946
12	1.052388634
13	1.043512161
14	1.035595398
15	1.028247136
16	1.020438482
17	1.012670051
18	1.005376611
19	0.9991275298
20	0.9923481724
21	0.9863960525
22	0.9800917811
23	0.9741051523
24	0.9693081967
25	0.9643997438
26	0.9601202839
27	0.9562293397
28	0.9509880306
29	0.9468336144
30	0.9425246727
31	0.9386763194
32	0.9340222591
33	0.9309776997
34	0.9283041767
35	0.9255166675
36	0.9210266895
37	0.9171774639
38	0.9150177385
39	0.9117737769
40	0.908442186
41	0.9046600031
42	0.9007623498
43	0.8980801377
44	0.8952011795
45	0.8923759063
46	0.8894563607
47	0.8866599813
48	0.8836679254
49	0.8806558772
50	0.878590197
51	0.8757590902
52	0.8727811964
53	0.8711745506
54	0.8699086617
55	0.8671627737
56	0.8656986954
57	0.8640958035
58	0.862722068
59	0.8617673154
60	0.86015079
61	0.8586169142
62	0.8567556107
63	0.8542248595
64	0.8515154969
65	0.8493318333
66	0.8482988073
67	0.8470089119
68	0.8451412174
69	0.8434302767
70	0.8416685591
71	0.8399843685
72	0.8383859163
73	0.8369806703
74	0.8350651458
75	0.8319089246
76	0.8298999321
77	0.8283084067
78	0.8270379786
79	0.8257303756
80	0.8244100302
81	0.8234814867
82	0.8214600501
83	0.8203273818
84	0.8186308605
85	0.8171866033
86	0.8158140531
87	0.8145228269
88	0.8135352698
89	0.8126582663
90	0.8117361058
91	0.8106223805
92	0.8091710949
93	0.8076468713
94	0.8066631344
95	0.805628094
96	0.8044537482
97	0.8027086559
98	0.8007481814
99	0.7988841056
100	0.7971180227
101	0.7958697359
102	0.7946795582
103	0.7931761674
104	0.792329761
105	0.7910997329
106	0.7900557223
107	0.7889288321
108	0.7878460755
109	0.7863728859
110	0.7845599059
111	0.7833236961
112	0.782521326
113	0.7816045248
114	0.7803990372
115	0.7789414963
116	0.7780876554
117	0.7766627242
118	0.7757806969
119	0.7747704899
120	0.7734494297
121	0.7725002274
122	0.7716586982
123	0.7707501591
124	0.7701653761
125	0.7687485802
126	0.767035773
127	0.7649142013
128	0.7639104309
129	0.7626058345
130	0.760953659
131	0.7598944758
132	0.7586152775
133	0.7572423558
134	0.7560198209
135	0.7548322743
136	0.7532690452
137	0.7526035871
138	0.75198618
139	0.7502616737
140	0.7494861853
141	0.7485668207
142	0.7468309879
143	0.7453234075
144	0.7441473631
145	0.7428756517
146	0.7418365644
147	0.7402875674
148	0.7393340394
149	0.7380560739
150	0.7367315026
151	0.7356381334
152	0.7343341223
153	0.7339804733
154	0.733414163
155	0.7320631721
156	0.7303697514
157	0.7287905283
158	0.7268418616
159	0.7260090762
160	0.7248617936
161	0.7234101125
162	0.7212406631
163	0.7207949664
164	0.7197058299
165	0.7180260754
166	0.7170497044
167	0.7160298591
168	0.7148948495
169	0.714151455
170	0.7137639322
171	0.7132581516
172	0.7123879283
173	0.711388835
174	0.7109070534
175	0.7099015692
176	0.707961743
177	0.7069648094
178	0.7061421705
179	0.7056769478
180	0.7045976406
181	0.7035480517
182	0.7021696168
183	0.7007240954
184	0.6993869636
185	0.6979606719
186	0.6972774975
187	0.696845222
188	0.6954743634
189	0.6937219395
190	0.6920155245
191	0.6906196724
192	0.6903310133
193	0.6895383957
194	0.6881758189
195	0.6870871833
196	0.6858551479
197	0.6849460725
198	0.6839789596
199	0.6824608604
200	0.6815994023
201	0.680552227
202	0.6791630928
203	0.6784455061
204	0.6775669986
205	0.6763834461
206	0.6754223702
207	0.6743184059
208	0.6728388489
209	0.6720353162
210	0.6704234771
211	0.6691298863
212	0.66684588
213	0.6657473615
214	0.6654424063
215	0.6646508196
216	0.6642512884
217	0.6629444382
218	0.6615750151
219	0.6600037299
220	0.6596299357
221	0.6590982536
222	0.6585239159
223	0.6583157394
224	0.6577800693
225	0.6574158547
226	0.6571127441
227	0.6560181453
228	0.6549433671
229	0.6546041448
230	0.6539787557
231	0.6537690735
232	0.6524455077
233	0.6513277832
234	0.6509061151
235	0.6505579741
236	0.6500934786
237	0.6497705307
238	0.6495732503
239	0.6492943357
240	0.6471334637
241	0.6462167888
242	0.6457925881
243	0.6456087526
244	0.6439666231
245	0.6433264243
246	0.6422438256
247	0.6407937667
248	0.6401325464
249	0.6383624346
250	0.638028979
251	0.6367454424
252	0.6357092271
253	0.6355544067
254	0.6340348799
255	0.6326121811
256	0.6324119509
257	0.630887717
258	0.6293337727
259	0.6279024055
260	0.6272113848
261	0.6257211584
262	0.6251427873
263	0.6238400639
264	0.6226007906
265	0.6223913956
266	0.6205858905
267	0.6193941472
268	0.6181406633
269	0.6179892198
270	0.6177743168
271	0.6172590115
272	0.6166267666
273	0.6162639676
274	0.6157289708
275	0.615552486
276	0.6140956762
277	0.6128525503
278	0.6116094069
279	0.6097532451
280	0.6075600159
281	0.6069821715
282	0.6068241926
283	0.6057220014
284	0.6054376918
285	0.6041607006
286	0.6031797585
287	0.6028798133
288	0.6020382879
289	0.6012470421
290	0.5999458824
291	0.5987444416
292	0.5972449505
293	0.5954675619
294	0.5939277474
295	0.5935699966
296	0.5926109157
297	0.5919101011
298	0.590840538
299	0.5889374805
300	0.5871467345
301	0.5863332666
302	0.5853223985
303	0.5838222284
304	0.5832391352
305	0.5829227891
306	0.5818277813
307	0.5800555762
308	0.579779164
309	0.5785304162
310	0.5777036548
311	0.5762465958
312	0.5758420076
313	0.5745614621
314	0.5742059539
315	0.5721961745
316	0.5713235922
317	0.5703796157
318	0.5688097907
319	0.567662031
320	0.5670162412
321	0.5666243881
322	0.5665030929
323	0.5651459785
324	0.5639761795
325	0.5629026734
326	0.5612177794
327	0.5600268976
328	0.5587810311
329	0.5578723275
330	0.5566739349
331	0.5561383323
332	0.5552440467
333	0.5543296174
334	0.553201711
335	0.5520841094
336	0.55109227
337	0.5501102022
338	0.5494023872
339	0.5479936516
340	0.546983602
341	0.5462938415
342	0.5449829965
343	0.543933501
344	0.5422698338
345	0.5411817538
346	0.5397833623
347	0.5392640693
348	0.5382352117
349	0.5370993885
350	0.5365984464
351	0.5361463705
352	0.535018506
353	0.534817066
354	0.5338131693
355	0.5326274961
356	0.5324445674
357	0.5319753923
358	0.53116868
359	0.5304155387
360	0.5291210496
361	0.5285758967
362	0.5280037428
363	0.5275455567
364	0.526841082
365	0.5250796293
366	0.524048811
367	0.5227700165
368	0.5217774735
369	0.5210019107
370	0.5199530192
371	0.5188548105
372	0.5174705076
373	0.5173326736
374	0.5165129972
375	0.5154297749
376	0.5142110228
377	0.5140815235
378	0.5124811516
379	0.5110393642
380	0.5105312962
381	0.5104329042
382	0.5102745016
383	0.5091131027
384	0.5086682076
385	0.5075545293
386	0.5065617278
387	0.5051467556
388	0.5039638068
389	0.5028540447
390	0.501865345
391	0.5005910113
392	0.4997177656
393	0.4991380335
394	0.498147433
395	0.4973347704
396	0.496888566
397	0.4960022593
398	0.4945138635
399	0.4944204736
400	0.493773224
401	0.4936479066
402	0.4928377766
403	0.4923446752
404	0.4917020556
405	0.4904610141
406	0.4898787115
407	0.4892545413
408	0.489015346
409	0.48813869
410	0.4873724332
411	0.4872103036
412	0.4863832941
413	0.4853504369
414	0.4848150625
415	0.4834754507
416	0.4821862766
417	0.4809349791
418	0.4794873724
419	0.4782421918
420	0.4777303361
421	0.4769236744
422	0.4762270226
423	0.4754215772
424	0.4744194024
425	0.4743169809
426	0.473263167
427	0.473117702
428	0.4720760323
429	0.4709992832
430	0.4698688145
431	0.4690957509
432	0.4680792511
433	0.4670997215
434	0.4658173731
435	0.464926175
436	0.4635173713
437	0.4630866285
438	0.4622366486
439	0.4611676991
440	0.4601683341
441	0.4600240249
442	0.4587710147
443	0.4585853739
444	0.4583533658
445	0.4569643069
446	0.4562042182
447	0.4559280385
448	0.4546639792
449	0.4538887861
450	0.4524480067
451	0.4510409533
452	0.4509699783
453	0.450182895
454	0.4500528605
455	0.4490744402
456	0.4481616609
457	0.4470890894
458	0.4466150603
459	0.4465405087
460	0.4455428718
461	0.4445347928
462	0.4437565509
463	0.4429895567
464	0.4420989637
465	0.4418406424
466	0.4415038685
467	0.4409917332
468	0.4398292725
469	0.4386170424
470	0.4380393579
471	0.4368858828
472	0.4360161699
473	0.4353272987
474	0.4342944809
475	0.4333679206
476	0.4325238436
477	0.4313960146
478	0.4307601425
479	0.4299620309
480	0.4289294431
481	0.4288089506
482	0.428386378
483	0.427418787
484	0.4261372202
485	0.4253995994
486	0.4241534628
487	0.4229499325
488	0.4228422977
489	0.4215949597
490	0.4206901676
491	0.419609766
492	0.4188612872
493	0.4180325246
494	0.4178656892
495	0.4177046337
496	0.4173145714
497	0.4164691602
498	0.4156334714
499	0.4155102936
500	0.4147988694
501	0.4147084577
502	0.4141300036
503	0.4137538604
504	0.4125277777
505	0.4117114306
506	0.4106208797
507	0.4097567846
508	0.408786597
509	0.4078657116
510	0.4068745239
511	0.4068067506
512	0.4058073834
513	0.4051521376
514	0.4043971185
515	0.4038263997
516	0.4029286298
517	0.4024973183
518	0.4022445952
519	0.4017262089
520	0.4011810404
521	0.4002241829
522	0.399477741
523	0.3988293516
524	0.3983284993
525	0.3974723701
526	0.3965395174
527	0.3959760826
528	0.3951429576
529	0.3944162896
530	0.3942102633
531	0.3933938456
532	0.3928120148
533	0.3920110709
534	0.3919024104
535	0.3917864117
536	0.3911433957
537	0.3902626446
538	0.3901586254
539	0.3894379843
540	0.3893026031
541	0.388704877
542	0.3878491383
543	0.3871537402
544	0.386574294
545	0.3859632492
546	0.3852522377
547	0.3845643559
548	0.3837858623
549	0.3830688287
550	0.3823131732
551	0.3816838678
552	0.3811800296
553	0.380459368
554	0.3801161656
555	0.3794551886
556	0.3785532592
557	0.3776668607
558	0.3770400046
559	0.3764015882
560	0.3757421165
561	0.3751253171
562	0.3744673011
563	0.3735931549
564	0.3730221455
565	0.3725198299
566	0.3716467813
567	0.3712397786
568	0.3708603036
569	0.3704372089
570	0.3696843662
571	0.3688464543
572	0.368669239
573	0.3678111264
574	0.3676774979
575	0.3672387445
576	0.3666448797
577	0.3656982141
578	0.3647101943
579	0.3645996327
580	0.363606797
581	0.3631602297
582	0.3623262115
583	0.3614907872
584	0.360592984
585	0.3598928652
586	0.3592606246
587	0.3585880144
588	0.3577642977
589	0.3574095252
590	0.3569441254
591	0.3566538095
592	0.3561085475
593	0.3552023486
594	0.3547117327
595	0.354232979
596	0.3537115028
597	0.3528930251
598	0.3522437665
599	0.3514921731
600	0.3511728271
601	0.3502940176
602	0.3501805148
603	0.3501330446
604	0.3495310019
605	0.3489079081
606	0.3478272449
607	0.3466749106
608	0.3465380107
609	0.3461358249
610	0.3457672316
611	0.3447477
612	0.3440857397
613	0.3434817931
614	0.3432006453
615	0.3427228164
616	0.342345114
617	0.3423039322
618	0.3417131003
619	0.3413136138
620	0.3412277128
621	0.3407492458
622	0.340680373
623	0.3406035312
624	0.3403604781
625	0.3397518012
626	0.3393935433
627	0.3387666717
628	0.3384175923
629	0.3377680182
630	0.337355492
631	0.3363862466
632	0.3359158213
633	0.3356909973
634	0.3349409351
635	0.3343111313
636	0.3340613909
637	0.3340084211
638	0.3332503945
639	0.33255831
640	0.3317897746
641	0.3307846287
642	0.3299102027
643	0.3291577301
644	0.3290001505
645	0.3289453947
646	0.328487585
647	0.3277148126
648	0.3271311329
649	0.3262062539
650	0.3254928113
651	0.3247903649
652	0.3247340141
653	0.3246762927
654	0.3241572038
655	0.323504126
656	0.3229720997
657	0.3226097126
658	0.3218722266
659	0.3211750924
660	0.320543348
661	0.3203483564
662	0.3197796753
663	0.319370174
664	0.3193461108
665	0.3189927311
666	0.318396844
667	0.3180176346
668	0.3170875747
669	0.3169480389
670	0.3163939457
671	0.3161127938
672	0.3154211398
673	0.3149877316
674	0.3148758655
675	0.3143906442
676	0.3139362549
677	0.3132733403
678	0.3125820361
679	0.3121742523
680	0.3120745682
681	0.3113398436
