iter	Passed	Remaining
0	40	39989
1	60	30285
2	85	28560
3	106	26470
4	131	26107
5	153	25390
6	176	25078
7	204	25346
8	223	24642
9	239	23699
10	251	22646
11	263	21723
12	278	21108
13	290	20487
14	302	19867
15	316	19437
16	329	19058
17	342	18691
18	355	18356
19	370	18132
20	385	17968
21	399	17741
22	413	17570
23	428	17437
24	444	17336
25	461	17278
26	476	17168
27	491	17055
28	506	16964
29	519	16799
30	531	16615
31	545	16501
32	560	16413
33	574	16330
34	588	16237
35	602	16145
36	618	16086
37	632	16000
38	645	15909
39	658	15809
40	672	15731
41	685	15645
42	700	15588
43	713	15502
44	726	15417
45	740	15358
46	753	15284
47	766	15207
48	779	15122
49	793	15073
50	806	15013
51	820	14961
52	834	14909
53	848	14868
54	861	14802
55	875	14763
56	890	14729
57	905	14700
58	919	14661
59	932	14612
60	945	14560
61	959	14523
62	973	14476
63	987	14444
64	1001	14408
65	1015	14377
66	1029	14334
67	1043	14308
68	1058	14276
69	1074	14269
70	1087	14234
71	1101	14193
72	1115	14162
73	1129	14134
74	1143	14106
75	1157	14070
76	1170	14033
77	1184	13996
78	1197	13958
79	1211	13930
80	1225	13908
81	1237	13858
82	1250	13819
83	1264	13786
84	1277	13748
85	1290	13715
86	1312	13768
87	1327	13760
88	1341	13733
89	1354	13690
90	1366	13652
91	1378	13606
92	1392	13576
93	1404	13541
94	1418	13514
95	1432	13492
96	1445	13455
97	1457	13414
98	1471	13391
99	1486	13381
100	1500	13357
101	1516	13352
102	1530	13329
103	1543	13293
104	1556	13268
105	1572	13261
106	1586	13240
107	1600	13221
108	1614	13194
109	1628	13178
110	1645	13182
111	1660	13161
112	1673	13139
113	1687	13113
114	1700	13088
115	1713	13061
116	1726	13030
117	1740	13006
118	1752	12975
119	1767	12958
120	1781	12940
121	1793	12910
122	1806	12883
123	1818	12849
124	1833	12834
125	1848	12822
126	1864	12815
127	1877	12787
128	1891	12770
129	1905	12750
130	1918	12727
131	1931	12701
132	1945	12681
133	1959	12661
134	1972	12636
135	1985	12612
136	1997	12584
137	2009	12552
138	2021	12520
139	2035	12503
140	2049	12484
141	2062	12459
142	2073	12428
143	2086	12403
144	2098	12374
145	2110	12343
146	2122	12317
147	2135	12291
148	2148	12270
149	2159	12238
150	2172	12217
151	2184	12186
152	2196	12158
153	2207	12125
154	2218	12096
155	2230	12069
156	2242	12042
157	2255	12018
158	2267	11993
159	2279	11968
160	2290	11935
161	2303	11914
162	2316	11897
163	2329	11872
164	2339	11839
165	2351	11815
166	2363	11789
167	2374	11759
168	2385	11729
169	2397	11703
170	2409	11681
171	2421	11657
172	2433	11632
173	2446	11612
174	2461	11606
175	2475	11587
176	2488	11569
177	2500	11548
178	2514	11531
179	2526	11511
180	2539	11490
181	2552	11472
182	2564	11448
183	2576	11425
184	2589	11406
185	2602	11389
186	2615	11370
187	2628	11353
188	2641	11334
189	2656	11324
190	2669	11307
191	2682	11288
192	2695	11269
193	2708	11251
194	2721	11234
195	2732	11209
196	2743	11183
197	2755	11162
198	2768	11142
199	2779	11117
200	2791	11095
201	2803	11075
202	2816	11057
203	2829	11039
204	2840	11016
205	2853	10997
206	2866	10981
207	2878	10959
208	2889	10936
209	2901	10915
210	2915	10902
211	2927	10880
212	2940	10863
213	2953	10846
214	2964	10825
215	2977	10808
216	2988	10784
217	3000	10764
218	3013	10746
219	3025	10725
220	3037	10706
221	3049	10688
222	3062	10672
223	3075	10653
224	3087	10634
225	3099	10614
226	3111	10595
227	3123	10577
228	3136	10558
229	3148	10540
230	3160	10521
231	3174	10507
232	3185	10484
233	3198	10469
234	3211	10454
235	3224	10439
236	3237	10422
237	3249	10403
238	3262	10388
239	3277	10378
240	3290	10362
241	3303	10346
242	3316	10331
243	3328	10311
244	3340	10294
245	3353	10277
246	3364	10257
247	3376	10239
248	3388	10221
249	3402	10206
250	3415	10191
251	3427	10173
252	3438	10152
253	3452	10140
254	3465	10125
255	3478	10109
256	3490	10091
257	3504	10079
258	3518	10065
259	3531	10051
260	3544	10035
261	3556	10018
262	3570	10005
263	3583	9990
264	3596	9974
265	3609	9961
266	3622	9945
267	3636	9931
268	3649	9917
269	3662	9902
270	3677	9892
271	3690	9877
272	3703	9862
273	3716	9847
274	3729	9833
275	3744	9821
276	3755	9802
277	3767	9783
278	3780	9769
279	3794	9758
280	3806	9740
281	3819	9723
282	3845	9742
283	3856	9723
284	3869	9706
285	3881	9689
286	3895	9678
287	3910	9668
288	3923	9651
289	3936	9638
290	3949	9622
291	3962	9608
292	3975	9592
293	3988	9577
294	4001	9562
295	4013	9544
296	4024	9526
297	4037	9511
298	4050	9495
299	4063	9481
300	4076	9466
301	4090	9455
302	4103	9438
303	4115	9423
304	4127	9406
305	4139	9388
306	4152	9374
307	4165	9358
308	4177	9340
309	4189	9324
310	4201	9308
311	4214	9293
312	4226	9276
313	4238	9259
314	4250	9243
315	4263	9228
316	4275	9212
317	4288	9197
318	4302	9185
319	4316	9171
320	4329	9157
321	4343	9145
322	4355	9128
323	4368	9113
324	4379	9096
